Start	Stop	Strand	Number of Genes	Genes
2546883	2548939	+	2	Rv2275, cyp121
2555941	2558810	+	3	Rv2283, lipM, Rv2285
2559703	2562457	+	3	yjcE, Rv2288, cdh
2562599	2564028	+	2	lppO, sseB
2564029	2565032	-	2	Rv2292c, Rv2293c
2566772	2568890	+	3	Rv2295, Rv2296, Rv2297
2574096	2575225	-	2	Rv2303c, Rv2304c
2579504	2580210	-	2	Rv2307B, Rv2307D
2580419	2581477	+	2	Rv2308, Rv2308a
2583884	2584755	+	2	Rv2311, Rv2312
2585052	2588804	-	3	Rv2313c, Rv2314c, Rv2315c
2588838	2591840	+	3	uspA, uspB, uspC
2591848	2594153	-	2	Rv2319c, rocE
2597009	2599947	-	2	Rv2325c, Rv2326c
2604740	2606754	+	2	Rv2331A, mez
2608796	2610421	+	2	cysK1, cysE
2620533	2623752	-	2	dnaG, dgt
2625888	2626519	-	2	esxO, esxP
2641246	2642042	+	2	smtB, zur
2642150	2644258	-	3	Rv2360c, Rv2361c, recO
2646747	2651558	-	6	Rv2365c, Rv2366c, Rv2367c, phoH1, Rv2369c, Rv2370c
2652037	2655093	-	3	Rv2372c, dnaJ2, hrcA
2656215	2667115	-	4	Rv2377c, mbtG, mbtF, mbtE
2667255	2675837	-	3	mbtD, mbtC, mbtB
2683248	2684266	-	2	rpfD, Rv2390c
2684679	2689941	+	4	sirA, cysH, che1, ggtB
2692551	2693884	+	2	aprB, PE_PGRS41
2693909	2697714	-	4	cysA1, cysW, cysT, subI
2700535	2703248	-	2	lppR, lepA
2706494	2709965	-	3	Rv2409c, Rv2410c, Rv2411c
2710351	2713784	-	3	Rv2413c, Rv2414c, Rv2415c
2716395	2718808	-	4	Rv2418c, gpgP, Rv2420c, nadD
2721866	2725477	-	3	Rv2425c, Rv2426c, proA
2726193	2727339	+	2	ahpC, ahpD
2728437	2732749	-	4	Rv2432c, Rv2433c, Rv2434c, Rv2435c
2737117	2740361	-	4	proB, obg, rpmA, rplU
2745314	2751572	-	5	ndkA, Rv2446c, folC, valS, Rv2449c
2752848	2756704	-	4	Rv2452c, mobA, Rv2454c, Rv2455c
2756936	2759488	-	2	Rv2456c, clpX
2762531	2763774	-	2	clpP2, clpP1
2766859	2768159	-	2	Rv2464c, rpiB
2771644	2773035	-	3	Rv2468c, Rv2468A, Rv2469c
2773178	2775204	+	2	glbO, aglA
2775272	2776284	+	2	Rv2472, Rv2473
2776316	2782262	-	3	Rv2474c, Rv2475c, gdh
2786575	2792494	-	4	Rv2481c, plsB2, plsC, Rv2484c
2795301	2801145	-	3	PE_PGRS42, Rv2488c, Rv2489c
2806665	2808735	+	4	Rv2491, Rv2492, vapB38, vapC38
2808758	2812096	-	3	bkdC, bkdB, bkdA
2812355	2819870	-	7	citE, Rv2499c, fadE19, accA1, accD1, scoB, scoA
2829954	2830583	+	2	Rv2512a, Rv2513
2830877	2832591	-	2	Rv2514c, Rv2515c
2832710	2833761	-	2	Rv2516c, Rv2517c
2838129	2839930	-	2	Rv2522c, acpS
2851091	2851716	+	2	vapB17, vapC17
2854267	2857781	-	3	vapC39, vapB39, Rv2531c
2857853	2860418	-	4	Rv2532c, nusB, efp, pepQ
2861148	2864412	-	4	aroD, aroB, aroK, aroF
2866468	2868061	+	3	lppA, lppB, vapB18
2868154	2869237	+	3	vapC18, vapB19, vapC19
2869253	2870364	-	3	Rv2548A, vapC20, vapB20
2870775	2876965	-	6	Rv2551c, aroE, Rv2553c, Rv2554c, alaS, Rv2556c
2882290	2884334	+	2	Rv2563, glnQ
2884611	2892449	+	3	Rv2565, Rv2566, Rv2567
2892446	2894408	-	2	Rv2568c, Rv2569c
2894893	2897803	-	2	Rv2571c, aspS
2898043	2900220	+	3	Rv2573, Rv2574, Rv2575
2904821	2906763	-	2	hisS, Rv2581c
2907826	2910900	-	2	relA, apt
2911004	2915736	-	3	Rv2585c, secF, secD
2923199	2925383	-	3	ruvB, ruvA, ruvC
2925492	2926138	+	2	vapB40, vapC40
2926355	2927908	+	3	Rv2597, Rv2598, Rv2599
2927990	2929959	+	2	Rv2600, speE
2930070	2930784	+	2	vapB41, vapC41
2931693	2934070	-	3	snoP, tesB2, snzP
2936810	2943267	-	6	Rv2609c, pimA, Rv2611c, pgsA1, Rv2613c, thrS
2947096	2948558	-	3	Rv2619c, Rv2620c, Rv2621c
2950489	2952503	-	2	Rv2624c, Rv2625c
2955767	2957432	+	2	Rv2629, Rv2630
2962470	2963390	+	2	Rv2635, Rv2636
2966533	2968406	+	2	Rv2642, arsC
2970123	2972027	+	3	Rv2645, Rv2646, Rv2647
2973795	2975775	-	2	Rv2650c, Rv2651c
2975928	2976909	-	2	Rv2652c, Rv2653c
2976989	2980818	-	6	Rv2654c, Rv2655c, Rv2656c, Rv2657c, Rv2658c, Rv2659c
2980963	2981576	-	2	Rv2660c, Rv2661c
2981482	2982351	+	3	Rv2662, Rv2663, Rv2664
2984733	2985753	+	2	Rv2668, Rv2669
2986839	2990592	+	3	ribD, Rv2672, aftC
2991184	2995062	-	4	Rv2675c, Rv2676c, hemY, hemE
2996105	2998055	+	2	Rv2680, Rv2681
3000112	3001903	+	2	Rv2683, arsA
3003280	3005650	-	3	Rv2686c, Rv2687c, Rv2688c
3009344	3010686	+	2	ceoB, ceoC
3010697	3011767	-	2	Rv2693c, Rv2694c
3017835	3019886	+	2	sigA, Rv2704
3019814	3020457	-	2	Rv2705c, Rv2706c
3027065	3029858	+	3	Rv2714, Rv2715, Rv2716
3034635	3036102	+	2	Rv2722, Rv2723
3037427	3041461	-	4	hflX, dapF, miaA, Rv2728c
3042542	3044378	+	2	Rv2730, Rv2731
3044375	3046524	-	2	Rv2732c, Rv2733c
3047560	3051424	-	3	Rv2735c, recX, recA
3051806	3053189	-	2	Rv2738c, Rv2739c
3055515	3058063	-	3	Rv2742c, Rv2743c, 35kd_ag
3058193	3059231	-	2	clgR, pgsA3
3062505	3064528	+	3	Rv2749, Rv2750, Rv2751
3064515	3067124	-	2	Rv2752c, dapA
3070170	3073056	-	6	vapC21, vapB21, vapC42, vapB42, hsdS, Rv2762c
3075588	3076720	-	2	Rv2766c, Rv2767c
3081119	3082756	-	3	Rv2772c, dapB, Rv2774c
3085713	3086754	-	2	Rv2778c, Rv2779c
3089045	3092597	-	2	pepR, gpsI
3092951	3093748	-	2	lppU, rpsO
3095111	3097645	+	2	Rv2787, sirR
3097706	3102162	-	4	fadE21, ltp1, Rv2791c, Rv2792c
3102364	3104911	-	3	truB, pptT, Rv2795c
3105056	3107637	-	3	lppV, Rv2797c, Rv2798c
3107768	3110065	+	2	Rv2799, Rv2800
3110167	3110737	-	2	mazF9, mazE9
3112867	3113459	+	2	Rv2805, Rv2806
3116139	3119036	+	3	Rv2811, Rv2812, Rv2813
3123625	3126144	-	3	Rv2816c, Rv2817c, Rv2818c
3126240	3132714	-	6	Rv2819c, Rv2820c, Rv2821c, Rv2822c, Rv2823c, Rv2824c
3133709	3135483	-	2	Rv2826c, Rv2827c
3135788	3137224	-	4	Rv2828c, Rv2828A, vapC22, vapB22
3138099	3148258	-	9	ugpC, ugpB, ugpE, ugpA, dinF, Rv2837c, rbfA, infB, Rv2840c
3148385	3149976	-	2	nusA, Rv2842c
3150171	3151201	+	2	Rv2843, Rv2844
3151202	3155871	-	3	proS, efpA, cysG
3156148	3160521	-	4	cobB, cobO, Rv2850c, Rv2851c
3162268	3166584	+	3	PE_PGRS48, Rv2854, mtr
3168583	3173000	-	4	Rv2857c, aldC, Rv2859c, glnA4
3173160	3174643	-	2	mapB, Rv2862c
3174747	3175372	+	2	vapB23, vapC23
3177537	3178085	+	2	relF, relG
3179368	3183011	-	3	gcpE, rip, dxr
3183138	3183825	+	2	vapB43, vapC43
3187030	3187977	+	2	mpt70, Rv2876
3188008	3189397	-	2	Rv2877c, mpt53
3190701	3192201	-	2	cdsA, frr
3194166	3196432	-	2	Rv2885c, Rv2886c
3196864	3199982	-	3	amiC, tsf, rpsB
3204381	3208328	-	4	viuB, Rv2896c, Rv2897c, Rv2898c
3208576	3212108	-	3	fdhD, fdhF, Rv2901c
3212162	3214253	-	3	rnhB, lepB, rplS
3215665	3217643	-	4	trmD, rimM, Rv2908c, rpsP
3219274	3221698	-	2	Rv2912c, Rv2913c
3223568	3226285	-	2	Rv2915c, ffh
3230738	3232506	-	2	glnB, amt
3232871	3238499	-	4	ftsY, smc, acyP, Rv2923c
3239829	3241959	-	3	rnc, Rv2926c, Rv2927c
3242198	3243281	+	2	tesA, Rv2929
3243697	3274902	+	9	fadD26, ppsA, ppsB, ppsC, ppsD, ppsE, drrA, drrB, drrC
3283335	3287832	+	2	fadD28, mmpL7
3288464	3290506	+	3	Rv2943, Rv2943A, Rv2944
3291503	3302455	-	5	pks1, pks15, fadD22, Rv2949c, fadD29
3304441	3306535	+	2	Rv2952, Rv2953
3308668	3310297	+	2	Rv2956, Rv2957
3315236	3317461	+	2	Rv2963, purU
3318330	3319467	-	2	kdtB, Rv2966c
3319663	3325703	-	4	pca, Rv2968c, Rv2969c, lipN
3325934	3326949	+	2	Rv2970A, Rv2971
3327023	3331612	-	4	Rv2972c, recG, Rv2974c, Rv2975c
3332071	3335748	-	4	ung, thiL, Rv2978c, Rv2979c
3336796	3338999	-	2	ddlA, gpdA2
3344033	3346075	-	2	leuD, leuC
3348805	3350993	-	2	gltS, Rv2993c
3352458	3355069	-	2	leuB, serA1
3357602	3359271	+	2	lppY, Rv3000
3359585	3362986	-	3	ilvC, ilvN, ilvB1
3367264	3371730	-	4	gatB, pfkA, gatA, gatC
3372545	3375664	-	2	ligA, Rv3015c
3378711	3379329	-	2	esxR, esxS
3382785	3385066	-	2	trmU, iscS
3385163	3386919	-	2	Rv3026c, Rv3027c
3387075	3388870	-	2	fixB, fixA
3389101	3393201	+	4	Rv3030, Rv3031, Rv3032, Rv3032A
3398425	3404921	-	6	Rv3038c, echA17, Rv3040c, Rv3041c, serB2, ctaD
3408022	3409378	-	2	Rv3047c, nrdF2
3412085	3414958	-	3	nrdE, nrdI, nrdH
3416081	3417745	+	2	Rv3055, dinP
3417799	3419376	-	2	Rv3057c, Rv3058c
3430387	3431315	+	2	mmr, Rv3066
3433692	3435573	+	3	Rv3069, Rv3070, Rv3071
3435798	3436685	-	2	Rv3072c, Rv3073c
3439072	3441754	+	3	Rv3076, Rv3077, hab
3448504	3457272	+	7	Rv3083, lipR, Rv3085, adhD, Rv3087, tgs4, fadD13
3458211	3460807	+	2	Rv3090, Rv3091
3460814	3463891	-	3	Rv3092c, Rv3093c, Rv3094c
3463973	3465686	+	2	Rv3095, Rv3096
3468413	3471369	-	4	Rv3099c, smpB, ftsX, ftsE
3471413	3473904	-	3	Rv3103c, Rv3104c, prfB
3478779	3479951	+	3	moaB1, moaC1, moaD1
3480074	3481289	+	2	Rv3113, Rv3114
3482776	3486174	+	5	moeB2, cysA3, Rv3118, moaE1, Rv3120
3488089	3489063	+	2	Rv3122, Rv3123
3497529	3500749	-	3	devS, devR, Rv3134c
3503393	3505283	+	2	Rv3137, pflA
3505363	3507995	+	2	fadE24, fadE23
3511682	3519166	+	7	nuoA, nuoB, nuoC, nuoD, nuoE, nuoF, nuoG
3519282	3527385	+	7	nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN
3529338	3536057	-	8	Rv3160c, Rv3161c, Rv3162c, Rv3163c, moxR3, Rv3165c, Rv3166c, Rv3167c
3536102	3538362	+	2	Rv3168, Rv3169
3540882	3542045	-	2	Rv3172c, Rv3173c
3542138	3544347	+	2	Rv3174, Rv3175
3549254	3550143	-	2	Rv3180c, Rv3181c
3550374	3551044	+	2	Rv3182, Rv3183
3554298	3555262	+	2	Rv3188, Rv3189
3564364	3566687	+	2	Rv3195, Rv3196
3571602	3573669	-	2	nudC, Rv3200c
3573731	3580200	-	2	Rv3201c, Rv3202c
3580638	3581620	+	2	lipV, Rv3204
3581627	3584658	-	3	Rv3205c, moeB1, Rv3207c
3587798	3590617	+	2	rhlE, Rv3212
3591646	3593372	+	2	gpm2, entC
3596029	3597766	-	2	Rv3220c, TB7.3
3598051	3599551	-	3	rshA, Rv3222c, sigH
3603377	3605718	+	2	aroA, Rv3228
3605751	3608254	-	2	desA3, Rv3230c
3608364	3609757	-	2	Rv3231c, ppk2
3611959	3613603	-	2	Rv3236c, Rv3237c
3613664	3617603	-	2	Rv3238c, Rv3239c
3617682	3621254	-	2	secA1, Rv3241c
3621570	3626613	-	4	Rv3242c, Rv3243c, lpqB, mtrB
3626663	3628063	-	2	mtrA, tmk
3629752	3631988	-	4	Rv3249c, rubB, rubA, alkB
3635041	3638709	-	3	manA, Rv3256c, pmmA
3640543	3642881	+	2	fbiA, fbiB
3644898	3647809	-	3	manB, wbbL1, rmlD
3647885	3650109	+	2	Rv3267, Rv3268
3650234	3652682	+	2	Rv3269, ctpC
3653448	3656931	+	2	Rv3272, Rv3273
3656920	3659924	-	3	fadE25, purE, purK
3660651	3662012	-	2	Rv3278c, birA
3662062	3664887	+	3	accD5, accE5, Rv3282
3664928	3666249	+	2	sseA, Rv3284
3668169	3669388	-	2	sigF, rsbW
3669586	3671794	-	3	usfY, Rv3289c, lat
3672328	3675086	+	2	Rv3292, pcd
3676066	3682087	+	3	Rv3295, lhr, nei
3682110	3687577	-	4	lpqC, atsB, Rv3300c, phoY1
3687685	3690938	-	2	glpD2, lpdA
3691639	3693989	-	2	amiA1, amiB1
3694054	3696468	+	2	deoD, pmmB
3697198	3699383	+	2	sapM, Rv3311
3699404	3700526	-	2	Rv3312c, Rv3312b
3700705	3703865	-	4	Rv3312A, add, deoA, cdd
3704102	3704871	+	2	sdhC, sdhD
3705000	3707563	+	2	sdhA, sdhB
3707642	3708316	-	2	vapC44, vapB44
3708438	3710248	-	3	Rv3322c, moaX, moaC3
3714392	3716994	+	2	Rv3329, dacB1
3717090	3719746	+	2	sugI, nagA
3721731	3723631	-	2	Rv3335c, trpS
3726127	3729355	+	3	metC, metA, Rv3342
3767346	3768593	-	2	Rv3351c, Rv3352c
3769514	3770649	-	2	Rv3355c, folD
3770773	3771302	+	2	relJ, relK
3773016	3777501	-	5	Rv3361c, Rv3362c, Rv3363c, Rv3364c, Rv3365c
3790848	3794867	-	3	Rv3377c, Rv3378c, dxs2
3796448	3798489	-	2	Rv3382c, idsB
3799243	3799943	-	2	vapC46, vapB46
3800092	3801463	+	2	Rv3386, Rv3387
3809442	3811636	-	2	Rv3394c, Rv3395c
3812501	3816106	-	3	guaA, phyA, idsA1
3816129	3820402	+	3	Rv3399, Rv3400, Rv3401
3822262	3824584	-	2	Rv3403c, Rv3404c
3825330	3826958	+	3	Rv3406, vapB47, vapC47
3826991	3831519	-	3	choD, guaB3, guaB2
3832146	3834521	-	3	Rv3413c, sigD, Rv3415c
3835272	3837288	-	2	groEL1, groES
3837555	3841420	-	5	gcp, rimI, Rv3421c, Rv3422c, alr
3843885	3845970	-	2	Rv3427c, Rv3428c
3847642	3848999	-	2	Rv3430c, Rv3430a
3850372	3854793	-	4	gadB, Rv3433c, Rv3434c, Rv3435c
3856911	3858239	+	2	Rv3437, Rv3438
3858259	3861370	-	3	Rv3439c, Rv3440c, mrsA
3861495	3862390	-	2	rpsI, rplM
3862624	3868238	-	4	esxT, esxU, Rv3446c, eccC4
3868352	3871119	+	2	eccD4, mycP4
3872617	3874132	+	2	cut3, cut4
3876052	3878507	-	3	truA, rplQ, rpoA
3878659	3880070	-	3	rpsD, rpsK, rpsM
3880286	3880653	-	2	rpmJ, infA
3880907	3883442	+	3	Rv3463, rmlB, rmlC
3883525	3884917	+	2	Rv3466, Rv3467
3884975	3889341	-	4	Rv3468c, mhpE, ilvB2, Rv3471c
3894093	3895607	+	2	PE31, PPE60
3898909	3901182	-	2	Rv3480c, Rv3481c
3901324	3902812	-	2	Rv3482c, Rv3483c
3907667	3909738	+	3	Rv3488, Rv3489, otsA
3910465	3920861	-	10	Rv3492c, Rv3493c, mce4F, lprN, mce4D, mce4C, mce4B, mce4A, yrbE4B, yrbE4A
3921087	3922256	-	2	Rv3502c, fdxD
3922471	3924819	+	2	fadE26, fadE27
3936877	3939257	-	2	ilvX, Rv3510c
3952544	3954270	+	2	echA19, Rv3517
3957521	3961786	+	4	Rv3521, ltp4, ltp3, Rv3524
3962439	3964054	+	2	kshA, Rv3527
3965884	3968944	-	3	Rv3529c, Rv3530c, Rv3531c
3970705	3975296	-	4	PPE62, hsaF, hsaG, hsaE
3975369	3977922	+	2	kstD, Rv3538
3979499	3985445	-	6	ltp2, Rv3541c, Rv3542c, fadE29, fadE28, cyp125
3987382	3989098	-	2	Rv3548c, Rv3549c
3989153	3991523	+	3	echA20, Rv3551, Rv3552
3991621	3994742	+	2	Rv3553, fdxB
3995804	3997631	-	2	fadA6, Rv3557c
3999647	4001589	-	2	Rv3559c, fadE30
4001637	4007366	+	5	fadD3, fadE31, fadE32, fadE33, aspB
4007331	4008433	-	2	nat, Rv3566A
4008719	4012270	-	4	hsaB, hsaC, hsaD, hsaA
4012417	4014041	+	2	kshB, Rv3572
4019262	4021383	+	2	Rv3577, arsB2
4021425	4023803	-	2	Rv3579c, cysS1
4023868	4025544	-	3	ispF, ispD, Rv3583c
4025830	4028967	+	3	lpqE, radA, Rv3586
4034057	4035710	+	2	Rv3592, lpqF
4043041	4046118	-	4	Rv3600c, panD, panC, Rv3603c
4047705	4052883	-	6	Rv3605c, folK, folB, folP1, folE, ftsH
4053518	4054696	-	3	Rv3612c, Rv3613c, espD
4054812	4056375	-	2	espC, espA
4057733	4059885	+	2	ephA, Rv3618
4059984	4062198	-	4	esxV, esxW, PPE65, PE32
4063254	4067285	-	4	hpt, mesJ, Rv3626c, Rv3627c
4069175	4071580	+	3	Rv3630, Rv3631, Rv3632
4079925	4080765	-	2	fic, Rv3642c
4093632	4094527	+	2	PE_PGRS60, PE_PGRS61
4094660	4097994	-	6	Rv3654c, Rv3655c, Rv3656c, Rv3657c, Rv3658c, Rv3659c
4101265	4104475	-	3	Rv3662c, dppD, dppC
4104531	4107084	-	2	dppB, dppA
4110827	4112329	+	2	Rv3669, ephE
4112322	4114342	-	2	Rv3671c, Rv3672c
4114474	4115894	-	2	Rv3673c, nth
4116002	4117152	+	2	Rv3675, crp
4117258	4118691	-	3	Rv3677c, Rv3678c, Rv3678A
4118776	4120955	+	2	Rv3679, Rv3680
4124417	4126479	+	2	Rv3683, Rv3684
4127295	4129083	-	2	cyp137, Rv3686c
4130357	4132392	+	2	Rv3689, Rv3690
4132518	4134592	+	2	Rv3691, moxR2
4139805	4140463	-	2	vapC48, vapB48
4140493	4142745	+	2	Rv3698, Rv3699
4142748	4148186	-	5	egtE, egtD, egtC, etgB, gshA
4151180	4153483	-	2	asd, ask
4156981	4158922	+	2	Rv3712, cobQ2
4158931	4160913	-	3	Rv3714c, recR, Rv3716c
4162306	4164998	+	2	Rv3719, Rv3720
4164995	4168128	-	2	dnaZX, Rv3722c
4181758	4183992	+	2	ligC, Rv3732
4184012	4185890	-	2	Rv3733c, tgs2
4186634	4189288	+	2	Rv3736, Rv3737
4189285	4190517	-	2	PPE66, PPE67
4190833	4193245	-	3	Rv3740c, Rv3741c, Rv3742c
4197628	4198597	-	2	Rv3749c, Rv3750c
4199247	4200221	-	2	Rv3752c, Rv3753c
4201289	4205373	-	5	Rv3755c, proZ, proW, proV, proX
4205862	4208876	-	2	fadE36, Rv3762c
4218849	4220932	+	2	echA21, lipE
4221089	4223680	+	2	Rv3776, Rv3777
4224985	4230100	+	5	Rv3779, Rv3780, rfbE, glfT1, rfbD
4232374	4234536	-	2	Rv3786c, Rv3787c
4235374	4252866	+	9	Rv3789, dprE1, dprE2, aftA, embC, embA, embB, Rv3796, fadE35
4254380	4263066	-	3	accD4, pks13, fadD32
4266953	4273475	-	5	aftB, ubiA, Rv3807c, glfT2, glf
4278394	4281571	-	4	Rv3813c, Rv3814c, Rv3815c, Rv3816c
4281647	4284331	+	3	Rv3817, Rv3818, Rv3819
4285973	4287935	+	2	Rv3821, Rv3822
4301563	4305008	-	3	Rv3827c, Rv3828c, Rv3829c
4309047	4310814	+	2	Rv3835, Rv3836
4311009	4312669	-	2	Rv3837c, pheA
4312765	4313980	+	2	Rv3839, Rv3840
4314738	4316596	-	2	glpQ1, Rv3843c
4318775	4319640	+	2	Rv3844, Rv3845
4324015	4324967	+	2	Rv3850, Rv3851
4325074	4325968	+	2	hns, rraA
4328401	4329614	-	2	Rv3856c, Rv3857c
4330039	4336081	-	2	gltD, gltB
4336777	4338272	+	2	Rv3860, Rv3861
4340270	4348724	+	7	espE, espF, espG1, espH, eccA1, eccB1, eccCa1
4350745	4352896	+	4	PE35, PPE68, esxB, esxA
4353010	4356542	+	2	espI, eccD1
4360199	4361925	-	2	espL, espB
4362032	4364757	-	2	eccE1, mycP1
4366908	4372706	-	4	eccE2, mycP2, eccD2, Rv3888c
4373726	4374372	-	2	esxC, esxD
4374484	4375995	-	2	PPE69, PE36
4376262	4382851	-	3	eccC2, eccB2, Rv3896c
4383008	4383985	-	2	Rv3897c, Rv3898c
4384147	4386814	-	3	Rv3899c, Rv3900c, Rv3901c
4387365	4393073	-	6	Rv3902c, Rv3903c, esxE, esxF, Rv3906c, pcnA
4393449	4403082	+	7	mutT4, Rv3909, Rv3910, sigM, Rv3912, trxB2, trxC
4405457	4408202	-	3	parB, parA, gid
4408969	4410929	-	4	Rv3921c, Rv3922c, rnpA, rpmH
